disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,headache,loss of appetite,dehydration,chills,sweating,body aches,rashes,general discomfort,irritability
"hand, foot, and mouth disease",rash on hands and feet,irritability,cough,sore muscles,headache,mild fever,,,,,,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,vomiting,bloody stools,fatigue,dehydration,feverish,,,,
shigellosis (bacillary dysentery),fever,nausea,vomiting,bloody stools,headache,fatigue,dehydration,body aches,rashes,general discomfort,chills,joint pain
norovirus infection,vomiting,muscle aches,headache,general discomfort,irritability,,,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,stomach cramps,headache,fatigue,loss of appetite,muscle aches,body aches,general discomfort,,,
roseola,high fever,rash,irritability,swollen lymph nodes,sore throat,headache,cough,vomiting,,,,
shigellosis (bacillary dysentery),diarrhea,nausea,loss of appetite,muscle aches,feverish,chills,joint pain,,,,,
shigellosis (bacillary dysentery),diarrhea,nausea,vomiting,bloody stools,stomach cramps,headache,loss of appetite,muscle aches,body aches,feverish,rashes,general discomfort,chills,joint pain
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,bloody stools,headache,dehydration,feverish,general discomfort,chills,,,,
"hand, foot, and mouth disease",fever,loss of appetite,mouth sores,cough,sore muscles,headache,mild fever,difficulty swallowing,,,,
shigellosis (bacillary dysentery),fever,diarrhea,vomiting,bloody stools,stomach cramps,headache,dehydration,muscle aches,body aches,rashes,general discomfort,chills,joint pain
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,bloody stools,headache,fatigue,dehydration,feverish,rashes,,,,
roseola,runny nose,irritability,cough,vomiting,abdominal pain,body aches,,,,,,
shigellosis (bacillary dysentery),diarrhea,stomach cramps,fatigue,dehydration,loss of appetite,muscle aches,feverish,rashes,general discomfort,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,vomiting,dehydration,loss of appetite,feverish,rashes,general discomfort,chills,joint pain,,
roseola,high fever,runny nose,diarrhea,vomiting,abdominal pain,body aches,,,,,,
roseola,high fever,runny nose,irritability,fatigue,swollen lymph nodes,headache,cough,red eyes,diarrhea,abdominal pain,body aches,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,bloody stools,headache,fatigue,dehydration,loss of appetite,muscle aches,body aches,feverish,rashes,chills,joint pain
roseola,high fever,swollen lymph nodes,sore throat,headache,cough,red eyes,diarrhea,vomiting,abdominal pain,feverish,,
norovirus infection,vomiting,muscle aches,nausea,dehydration,chills,sweating,general discomfort,,,,,
roseola,high fever,sore throat,diarrhea,vomiting,abdominal pain,rashes,,,,,,
roseola,rash,swollen lymph nodes,headache,red eyes,diarrhea,body aches,rashes,feverish,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,stomach cramps,headache,loss of appetite,muscle aches,feverish,rashes,chills,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,vomiting,stomach cramps,fatigue,muscle aches,body aches,rashes,general discomfort,joint pain,,
shigellosis (bacillary dysentery),fever,diarrhea,feverish,general discomfort,joint pain,,,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,vomiting,stomach cramps,fatigue,dehydration,muscle aches,body aches,feverish,rashes,general discomfort,chills
roseola,high fever,runny nose,swollen lymph nodes,headache,vomiting,abdominal pain,rashes,chills,,,,
norovirus infection,diarrhea,low-grade fever,muscle aches,fatigue,loss of appetite,dehydration,chills,general discomfort,,,,
roseola,high fever,sore throat,headache,cough,red eyes,loss of appetite,abdominal pain,body aches,rashes,,,
norovirus infection,diarrhea,vomiting,stomach cramps,headache,fatigue,sweating,rashes,,,,,
norovirus infection,stomach cramps,low-grade fever,nausea,fatigue,abdominal pain,sweating,general discomfort,fever,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,stomach cramps,rashes,general discomfort,chills,,,,,,,
norovirus infection,vomiting,nausea,fatigue,abdominal pain,loss of appetite,chills,sweating,body aches,general discomfort,fever,irritability,
roseola,high fever,runny nose,swollen lymph nodes,sore throat,chills,feverish,,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,vomiting,bloody stools,stomach cramps,fatigue,dehydration,loss of appetite,body aches,feverish,rashes,joint pain
roseola,runny nose,swollen lymph nodes,sore throat,headache,red eyes,rashes,feverish,,,,,
shigellosis (bacillary dysentery),vomiting,stomach cramps,fatigue,loss of appetite,muscle aches,rashes,general discomfort,chills,,,,
roseola,runny nose,rash,swollen lymph nodes,sore throat,vomiting,loss of appetite,abdominal pain,body aches,rashes,chills,feverish,
roseola,high fever,runny nose,rash,sore throat,headache,cough,red eyes,vomiting,loss of appetite,rashes,,
norovirus infection,diarrhea,stomach cramps,low-grade fever,muscle aches,,,,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,bloody stools,fatigue,dehydration,muscle aches,body aches,feverish,rashes,general discomfort,chills
roseola,runny nose,rash,irritability,fatigue,cough,vomiting,abdominal pain,body aches,rashes,,,
roseola,high fever,fatigue,swollen lymph nodes,headache,red eyes,body aches,rashes,chills,,,,
roseola,runny nose,irritability,fatigue,headache,abdominal pain,chills,,,,,,
roseola,high fever,rash,swollen lymph nodes,sore throat,diarrhea,loss of appetite,body aches,feverish,,,,
roseola,rash,irritability,sore throat,cough,red eyes,vomiting,body aches,feverish,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,headache,dehydration,body aches,feverish,chills,,,,,
roseola,high fever,runny nose,rash,irritability,swollen lymph nodes,sore throat,cough,vomiting,body aches,chills,feverish,
norovirus infection,vomiting,stomach cramps,muscle aches,nausea,fatigue,abdominal pain,loss of appetite,sweating,fever,irritability,,
roseola,runny nose,fatigue,diarrhea,loss of appetite,abdominal pain,body aches,rashes,,,,,
roseola,high fever,runny nose,irritability,fatigue,swollen lymph nodes,headache,loss of appetite,body aches,chills,,,
shigellosis (bacillary dysentery),bloody stools,stomach cramps,headache,muscle aches,body aches,feverish,rashes,general discomfort,joint pain,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,vomiting,bloody stools,stomach cramps,headache,fatigue,loss of appetite,feverish,,,
roseola,high fever,runny nose,rash,fatigue,swollen lymph nodes,sore throat,red eyes,diarrhea,vomiting,loss of appetite,body aches,rashes
roseola,runny nose,irritability,cough,red eyes,vomiting,body aches,rashes,chills,feverish,,,
roseola,rash,sore throat,cough,loss of appetite,abdominal pain,rashes,,,,,,
"hand, foot, and mouth disease",sores in mouth,rash on hands and feet,loss of appetite,irritability,sore throat,red spots,fatigue,cough,mild fever,difficulty swallowing,,
shigellosis (bacillary dysentery),fever,stomach cramps,fatigue,dehydration,loss of appetite,muscle aches,body aches,rashes,,,,
norovirus infection,vomiting,muscle aches,headache,fatigue,abdominal pain,loss of appetite,dehydration,body aches,fever,irritability,,
shigellosis (bacillary dysentery),abdominal pain or cramps,vomiting,bloody stools,stomach cramps,headache,fatigue,dehydration,feverish,rashes,general discomfort,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,headache,dehydration,feverish,general discomfort,chills,joint pain,,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,headache,abdominal pain,dehydration,chills,body aches,fever,,
roseola,fatigue,swollen lymph nodes,cough,diarrhea,vomiting,loss of appetite,abdominal pain,feverish,,,,
norovirus infection,stomach cramps,low-grade fever,fatigue,abdominal pain,loss of appetite,dehydration,chills,sweating,body aches,fever,,
norovirus infection,low-grade fever,muscle aches,abdominal pain,loss of appetite,sweating,body aches,rashes,fever,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,vomiting,dehydration,body aches,rashes,general discomfort,,,,
shigellosis (bacillary dysentery),vomiting,stomach cramps,headache,muscle aches,feverish,chills,joint pain,,,,,
shigellosis (bacillary dysentery),nausea,fatigue,feverish,general discomfort,joint pain,,,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,vomiting,dehydration,loss of appetite,muscle aches,body aches,feverish,rashes,,,,
norovirus infection,diarrhea,vomiting,stomach cramps,muscle aches,nausea,abdominal pain,loss of appetite,dehydration,sweating,body aches,general discomfort,
roseola,high fever,runny nose,fatigue,swollen lymph nodes,sore throat,cough,loss of appetite,abdominal pain,body aches,,,
norovirus infection,diarrhea,vomiting,stomach cramps,muscle aches,nausea,fatigue,abdominal pain,loss of appetite,dehydration,chills,body aches,fever,irritability
fifth disease (erythema infectiosum),rash on face,sore throat,fever,malaise,myalgias,diarrhea,vomiting,,,,,
roseola,runny nose,red eyes,diarrhea,vomiting,loss of appetite,abdominal pain,rashes,feverish,,,,
mumps,headache,fever,muscle aches,fever,headache,muscle aches,,,,,,
norovirus infection,vomiting,stomach cramps,muscle aches,headache,dehydration,chills,body aches,rashes,fever,irritability,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,stomach cramps,fatigue,loss of appetite,feverish,rashes,general discomfort,chills,joint pain
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,vomiting,stomach cramps,headache,fatigue,loss of appetite,body aches,general discomfort,chills,joint pain
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,bloody stools,headache,fatigue,loss of appetite,muscle aches,rashes,general discomfort,joint pain,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,stomach cramps,fatigue,loss of appetite,general discomfort,chills,,,,
"hand, foot, and mouth disease",fever,sores in mouth,loss of appetite,irritability,sore throat,fatigue,cough,sore muscles,general discomfort,mild fever,difficulty swallowing,
roseola,high fever,fatigue,sore throat,headache,diarrhea,loss of appetite,abdominal pain,chills,,,,
norovirus infection,stomach cramps,low-grade fever,nausea,abdominal pain,sweating,rashes,fever,irritability,,,,
roseola,runny nose,irritability,fatigue,swollen lymph nodes,sore throat,headache,red eyes,diarrhea,vomiting,abdominal pain,feverish,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,bloody stools,stomach cramps,headache,fatigue,rashes,chills,joint pain,,,
roseola,sore throat,diarrhea,vomiting,loss of appetite,abdominal pain,rashes,chills,feverish,,,,
norovirus infection,diarrhea,vomiting,muscle aches,nausea,headache,abdominal pain,body aches,rashes,fever,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,bloody stools,stomach cramps,headache,fatigue,dehydration,loss of appetite,body aches,rashes,general discomfort,joint pain
scarlet fever,fever,red rash on the body,strawberry tongue,fever (100.4�f / 38.0�c or higher),"tender, enlarged neck glands",nausea or vomiting,abdominal pain,headache and body aches,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,bloody stools,fatigue,dehydration,loss of appetite,muscle aches,feverish,,
shigellosis (bacillary dysentery),fever,diarrhea,headache,loss of appetite,muscle aches,rashes,,,,,,
roseola,runny nose,fatigue,swollen lymph nodes,sore throat,red eyes,loss of appetite,abdominal pain,chills,feverish,,,
shigellosis (bacillary dysentery),fever,bloody stools,fatigue,dehydration,body aches,feverish,rashes,chills,joint pain,,,
roseola,runny nose,rash,fatigue,sore throat,headache,cough,diarrhea,abdominal pain,rashes,chills,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,bloody stools,stomach cramps,loss of appetite,muscle aches,feverish,rashes,general discomfort,chills,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,vomiting,bloody stools,fatigue,dehydration,body aches,feverish,,
"hand, foot, and mouth disease",fever,loss of appetite,mouth sores,blisters,cough,headache,general discomfort,mild fever,,,,
roseola,runny nose,rash,swollen lymph nodes,sore throat,cough,red eyes,diarrhea,abdominal pain,feverish,,,
common cold,"scratchy, tickly throat",sore throat,mild hacking cough,mild fatigue,chills,,,,,,,
norovirus infection,diarrhea,vomiting,low-grade fever,muscle aches,nausea,fatigue,dehydration,rashes,general discomfort,fever,,
roseola,high fever,irritability,fatigue,swollen lymph nodes,sore throat,cough,red eyes,diarrhea,loss of appetite,abdominal pain,chills,feverish
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,dehydration,chills,rashes,irritability,,,
shigellosis (bacillary dysentery),fever,nausea,vomiting,headache,fatigue,dehydration,loss of appetite,muscle aches,body aches,rashes,general discomfort,chills,joint pain
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,bloody stools,fatigue,dehydration,muscle aches,feverish,rashes,general discomfort,,
shigellosis (bacillary dysentery),bloody stools,dehydration,loss of appetite,muscle aches,body aches,general discomfort,joint pain,,,,,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,vomiting,stomach cramps,headache,muscle aches,feverish,general discomfort,joint pain,,
roseola,irritability,sore throat,cough,diarrhea,vomiting,abdominal pain,body aches,rashes,chills,,,
shigellosis (bacillary dysentery),nausea,vomiting,bloody stools,stomach cramps,dehydration,loss of appetite,body aches,feverish,general discomfort,chills,joint pain,
norovirus infection,diarrhea,stomach cramps,muscle aches,nausea,headache,fatigue,loss of appetite,dehydration,sweating,general discomfort,,
shigellosis (bacillary dysentery),abdominal pain or cramps,bloody stools,fatigue,loss of appetite,muscle aches,feverish,chills,joint pain,,,,
norovirus infection,muscle aches,headache,fatigue,loss of appetite,dehydration,sweating,body aches,irritability,,,,
roseola,high fever,rash,irritability,fatigue,sore throat,headache,cough,loss of appetite,abdominal pain,rashes,,
roseola,runny nose,irritability,fatigue,swollen lymph nodes,headache,cough,diarrhea,abdominal pain,body aches,chills,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,bloody stools,dehydration,loss of appetite,body aches,rashes,general discomfort,,,
norovirus infection,vomiting,stomach cramps,muscle aches,nausea,headache,fatigue,abdominal pain,loss of appetite,dehydration,chills,body aches,rashes,general discomfort,fever,irritability
norovirus infection,diarrhea,vomiting,muscle aches,headache,abdominal pain,loss of appetite,dehydration,chills,rashes,general discomfort,fever,
norovirus infection,diarrhea,vomiting,headache,abdominal pain,chills,sweating,body aches,fever,irritability,,,
roseola,high fever,irritability,fatigue,sore throat,headache,cough,diarrhea,vomiting,abdominal pain,rashes,chills,feverish
norovirus infection,diarrhea,stomach cramps,muscle aches,fatigue,body aches,general discomfort,fever,,,,,
norovirus infection,stomach cramps,low-grade fever,muscle aches,headache,chills,sweating,rashes,general discomfort,fever,irritability,,
roseola,rash,fatigue,swollen lymph nodes,diarrhea,loss of appetite,,,,,,,
norovirus infection,diarrhea,vomiting,stomach cramps,muscle aches,headache,abdominal pain,dehydration,chills,general discomfort,fever,irritability,
norovirus infection,stomach cramps,muscle aches,nausea,loss of appetite,dehydration,body aches,rashes,general discomfort,irritability,,,
pertussis (whooping cough),whooping cough,fever,"sore, watery eyes",runny nose,vomiting after coughing,,,,,,,
norovirus infection,stomach cramps,low-grade fever,nausea,headache,fatigue,abdominal pain,dehydration,body aches,general discomfort,fever,irritability,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,nausea,vomiting,bloody stools,stomach cramps,headache,dehydration,muscle aches,body aches,feverish,rashes,general discomfort,chills,joint pain
norovirus infection,diarrhea,vomiting,low-grade fever,headache,abdominal pain,chills,body aches,rashes,general discomfort,fever,,
norovirus infection,diarrhea,vomiting,nausea,headache,fatigue,abdominal pain,loss of appetite,dehydration,rashes,general discomfort,irritability,
roseola,runny nose,irritability,fatigue,swollen lymph nodes,cough,red eyes,diarrhea,chills,feverish,,,
norovirus infection,vomiting,muscle aches,headache,abdominal pain,body aches,general discomfort,fever,irritability,,,,
norovirus infection,diarrhea,vomiting,headache,abdominal pain,chills,body aches,rashes,general discomfort,irritability,,,
shigellosis (bacillary dysentery),diarrhea,nausea,bloody stools,stomach cramps,headache,fatigue,loss of appetite,rashes,general discomfort,chills,joint pain,
roseola,runny nose,irritability,swollen lymph nodes,headache,diarrhea,vomiting,loss of appetite,abdominal pain,body aches,chills,,
roseola,high fever,rash,fatigue,swollen lymph nodes,sore throat,headache,cough,red eyes,vomiting,abdominal pain,,
norovirus infection,vomiting,low-grade fever,headache,dehydration,chills,sweating,body aches,fever,irritability,,,
shigellosis (bacillary dysentery),fever,bloody stools,stomach cramps,fatigue,dehydration,loss of appetite,muscle aches,body aches,feverish,rashes,chills,
roseola,high fever,runny nose,irritability,fatigue,swollen lymph nodes,sore throat,cough,vomiting,loss of appetite,chills,,
norovirus infection,diarrhea,stomach cramps,low-grade fever,muscle aches,headache,fatigue,dehydration,sweating,general discomfort,,,
head lice infestation,tickling sensation in hair,difficulty sleeping,tickling feeling,sores on the scalp,irritability,trouble sleeping,,,,,,
roseola,runny nose,irritability,fatigue,sore throat,red eyes,loss of appetite,abdominal pain,body aches,,,,
roseola,runny nose,rash,irritability,fatigue,swollen lymph nodes,headache,cough,vomiting,loss of appetite,abdominal pain,body aches,chills
shigellosis (bacillary dysentery),fever,nausea,vomiting,headache,fatigue,dehydration,feverish,rashes,,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,headache,abdominal pain,dehydration,general discomfort,fever,,,
shigellosis (bacillary dysentery),diarrhea,nausea,vomiting,bloody stools,headache,fatigue,dehydration,muscle aches,body aches,feverish,rashes,general discomfort
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,headache,fatigue,abdominal pain,dehydration,chills,body aches,rashes,general discomfort,irritability
shigellosis (bacillary dysentery),bloody stools,fatigue,muscle aches,general discomfort,joint pain,,,,,,,
shigellosis (bacillary dysentery),nausea,stomach cramps,headache,feverish,general discomfort,chills,joint pain,,,,,
mumps,headache,"swollen, painful salivary glands",pain while chewing or swallowing,fever,muscle aches,trouble chewing,testicle pain and tenderness,fever,headache,,,
roseola,runny nose,fatigue,sore throat,vomiting,loss of appetite,feverish,,,,,,
roseola,rash,irritability,fatigue,swollen lymph nodes,sore throat,headache,red eyes,vomiting,loss of appetite,chills,feverish,
shigellosis (bacillary dysentery),fever,nausea,headache,dehydration,loss of appetite,body aches,rashes,joint pain,,,,
roseola,rash,irritability,swollen lymph nodes,cough,diarrhea,abdominal pain,chills,feverish,,,,
"hand, foot, and mouth disease",sores in mouth,irritability,sore muscles,difficulty swallowing,,,,,,,,
roseola,rash,irritability,diarrhea,vomiting,loss of appetite,abdominal pain,body aches,rashes,chills,feverish,,
roseola,high fever,runny nose,rash,irritability,swollen lymph nodes,headache,cough,loss of appetite,body aches,rashes,chills,feverish
roseola,runny nose,rash,irritability,diarrhea,vomiting,body aches,feverish,,,,,
shigellosis (bacillary dysentery),fever,vomiting,bloody stools,muscle aches,body aches,feverish,rashes,chills,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,bloody stools,stomach cramps,dehydration,loss of appetite,body aches,rashes,chills,joint pain,
shigellosis (bacillary dysentery),bloody stools,stomach cramps,dehydration,muscle aches,feverish,rashes,general discomfort,chills,joint pain,,,
norovirus infection,vomiting,low-grade fever,muscle aches,nausea,headache,abdominal pain,dehydration,chills,sweating,fever,,
roseola,high fever,runny nose,rash,fatigue,swollen lymph nodes,sore throat,headache,cough,vomiting,abdominal pain,body aches,
roseola,runny nose,irritability,fatigue,red eyes,diarrhea,vomiting,abdominal pain,rashes,chills,,,
"hand, foot, and mouth disease",fever,rash on hands and feet,loss of appetite,irritability,blisters,fatigue,sore muscles,headache,,,,
norovirus infection,vomiting,nausea,fatigue,loss of appetite,chills,body aches,rashes,general discomfort,fever,irritability,,
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,abdominal pain,sweating,body aches,rashes,general discomfort,fever,
norovirus infection,vomiting,stomach cramps,loss of appetite,dehydration,body aches,,,,,,,
roseola,high fever,runny nose,irritability,fatigue,swollen lymph nodes,sore throat,headache,cough,red eyes,diarrhea,vomiting,loss of appetite,feverish
roseola,runny nose,irritability,fatigue,swollen lymph nodes,headache,cough,diarrhea,vomiting,abdominal pain,rashes,feverish,
norovirus infection,diarrhea,vomiting,headache,abdominal pain,loss of appetite,sweating,body aches,fever,,,,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,headache,dehydration,chills,sweating,rashes,fever
norovirus infection,diarrhea,fatigue,abdominal pain,chills,sweating,body aches,rashes,general discomfort,fever,,,
"hand, foot, and mouth disease",rash on hands and feet,loss of appetite,mouth sores,fatigue,headache,general discomfort,,,,,,
norovirus infection,diarrhea,stomach cramps,muscle aches,loss of appetite,dehydration,body aches,general discomfort,fever,,,,
shigellosis (bacillary dysentery),fever,diarrhea,vomiting,fatigue,body aches,rashes,,,,,,
roseola,irritability,fatigue,swollen lymph nodes,sore throat,headache,cough,red eyes,diarrhea,vomiting,abdominal pain,body aches,feverish
shigellosis (bacillary dysentery),diarrhea,vomiting,bloody stools,headache,muscle aches,rashes,general discomfort,chills,,,,
norovirus infection,diarrhea,stomach cramps,low-grade fever,headache,loss of appetite,dehydration,sweating,body aches,fever,irritability,,
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,headache,chills,sweating,rashes,irritability,,
norovirus infection,diarrhea,muscle aches,nausea,abdominal pain,sweating,rashes,general discomfort,irritability,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,bloody stools,stomach cramps,fatigue,dehydration,loss of appetite,muscle aches,body aches,feverish,general discomfort,joint pain
norovirus infection,diarrhea,vomiting,stomach cramps,muscle aches,abdominal pain,sweating,general discomfort,irritability,,,,
norovirus infection,muscle aches,fatigue,loss of appetite,dehydration,chills,sweating,rashes,general discomfort,,,,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,nausea,headache,fatigue,abdominal pain,loss of appetite,dehydration,chills,general discomfort,fever
norovirus infection,vomiting,fatigue,dehydration,sweating,body aches,rashes,general discomfort,fever,irritability,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,vomiting,stomach cramps,headache,fatigue,dehydration,loss of appetite,body aches,rashes,chills,
norovirus infection,stomach cramps,low-grade fever,muscle aches,abdominal pain,loss of appetite,dehydration,chills,rashes,fever,,,
norovirus infection,vomiting,low-grade fever,headache,fatigue,abdominal pain,rashes,irritability,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,vomiting,bloody stools,stomach cramps,dehydration,feverish,rashes,joint pain,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,bloody stools,dehydration,loss of appetite,muscle aches,feverish,rashes,chills,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,vomiting,bloody stools,stomach cramps,headache,loss of appetite,body aches,general discomfort,,,
norovirus infection,diarrhea,vomiting,stomach cramps,fatigue,abdominal pain,sweating,rashes,general discomfort,,,,
roseola,high fever,runny nose,rash,irritability,fatigue,swollen lymph nodes,sore throat,red eyes,vomiting,loss of appetite,body aches,chills,feverish
shigellosis (bacillary dysentery),fever,nausea,bloody stools,loss of appetite,muscle aches,rashes,general discomfort,chills,joint pain,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,vomiting,stomach cramps,fatigue,body aches,feverish,rashes,joint pain,
roseola,runny nose,irritability,headache,cough,red eyes,diarrhea,abdominal pain,rashes,feverish,,,
shigellosis (bacillary dysentery),bloody stools,stomach cramps,headache,fatigue,loss of appetite,muscle aches,body aches,rashes,chills,joint pain,,
impetigo,discolored sores,blisters,yellow crust,itchiness,pain,redness,swelling,fever,,,,
"hand, foot, and mouth disease",sores in mouth,rash on hands and feet,irritability,sore throat,blisters,sore muscles,headache,,,,,
roseola,runny nose,rash,irritability,fatigue,swollen lymph nodes,cough,red eyes,diarrhea,loss of appetite,abdominal pain,body aches,
roseola,runny nose,fatigue,sore throat,diarrhea,body aches,chills,,,,,,
roseola,rash,irritability,sore throat,headache,cough,red eyes,diarrhea,loss of appetite,abdominal pain,rashes,,
shigellosis (bacillary dysentery),nausea,bloody stools,fatigue,body aches,rashes,joint pain,,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,vomiting,bloody stools,stomach cramps,headache,fatigue,loss of appetite,chills,joint pain,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,vomiting,stomach cramps,headache,dehydration,loss of appetite,muscle aches,feverish,chills,
shigellosis (bacillary dysentery),fever,nausea,bloody stools,fatigue,dehydration,loss of appetite,muscle aches,feverish,,,,
roseola,high fever,runny nose,rash,irritability,fatigue,swollen lymph nodes,headache,loss of appetite,abdominal pain,chills,feverish,
roseola,rash,irritability,fatigue,cough,red eyes,vomiting,loss of appetite,abdominal pain,body aches,rashes,feverish,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,vomiting,bloody stools,stomach cramps,headache,fatigue,muscle aches,body aches,feverish,general discomfort,joint pain
"hand, foot, and mouth disease",rash on hands and feet,irritability,red spots,fatigue,sore muscles,mild fever,,,,,,
norovirus infection,diarrhea,vomiting,low-grade fever,muscle aches,abdominal pain,loss of appetite,dehydration,chills,sweating,rashes,general discomfort,irritability
"hand, foot, and mouth disease",fever,loss of appetite,irritability,sore throat,fatigue,mild fever,difficulty swallowing,,,,,
roseola,runny nose,rash,irritability,swollen lymph nodes,headache,red eyes,diarrhea,vomiting,abdominal pain,feverish,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,nausea,vomiting,headache,fatigue,dehydration,loss of appetite,muscle aches,rashes,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,vomiting,bloody stools,stomach cramps,fatigue,loss of appetite,muscle aches,body aches,rashes,general discomfort,chills,joint pain
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,bloody stools,fatigue,dehydration,loss of appetite,body aches,feverish,general discomfort,chills,joint pain
shigellosis (bacillary dysentery),diarrhea,nausea,vomiting,fatigue,dehydration,loss of appetite,muscle aches,feverish,chills,joint pain,,
roseola,runny nose,irritability,fatigue,sore throat,loss of appetite,abdominal pain,body aches,rashes,chills,feverish,,
norovirus infection,low-grade fever,muscle aches,nausea,headache,fatigue,abdominal pain,body aches,rashes,,,,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,vomiting,stomach cramps,headache,loss of appetite,body aches,feverish,joint pain,,
norovirus infection,diarrhea,headache,loss of appetite,chills,body aches,general discomfort,fever,irritability,,,,
"hand, foot, and mouth disease",fever,rash on hands and feet,irritability,sore muscles,headache,general discomfort,difficulty swallowing,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,headache,fatigue,loss of appetite,rashes,chills,joint pain,,,,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,muscle aches,nausea,abdominal pain,body aches,rashes,irritability,,
norovirus infection,diarrhea,low-grade fever,nausea,headache,fatigue,abdominal pain,loss of appetite,chills,sweating,body aches,rashes,fever
roseola,high fever,fatigue,swollen lymph nodes,cough,diarrhea,abdominal pain,rashes,,,,,
shigellosis (bacillary dysentery),diarrhea,vomiting,dehydration,loss of appetite,body aches,feverish,chills,joint pain,,,,
norovirus infection,diarrhea,fatigue,loss of appetite,chills,sweating,body aches,general discomfort,fever,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,vomiting,bloody stools,dehydration,loss of appetite,muscle aches,feverish,rashes,chills,
shigellosis (bacillary dysentery),abdominal pain or cramps,vomiting,bloody stools,headache,fatigue,loss of appetite,muscle aches,body aches,rashes,general discomfort,,
roseola,irritability,sore throat,headache,red eyes,vomiting,loss of appetite,rashes,chills,feverish,,,
norovirus infection,vomiting,stomach cramps,muscle aches,nausea,fatigue,abdominal pain,loss of appetite,chills,fever,,,
roseola,high fever,rash,irritability,fatigue,sore throat,headache,cough,vomiting,abdominal pain,rashes,,
norovirus infection,vomiting,stomach cramps,low-grade fever,muscle aches,dehydration,body aches,rashes,,,,,
shigellosis (bacillary dysentery),nausea,bloody stools,stomach cramps,headache,body aches,general discomfort,chills,,,,,
